date,cases,deaths,recovered,country
2021-01-01,8460,94,6598,Rwanda
2021-01-02,8567,98,6685,Rwanda
2021-01-03,8676,101,6752,Rwanda
2021-01-04,8848,105,6816,Rwanda
2021-01-05,8955,110,6878,Rwanda
2021-01-06,9058,112,6940,Rwanda
2021-01-07,9225,113,6940,Rwanda
2021-01-08,9368,115,6940,Rwanda
2021-01-09,9461,118,6956,Rwanda
2021-01-10,9630,120,6974,Rwanda
2021-01-11,9784,124,6974,Rwanda
2021-01-12,9950,125,6974,Rwanda
2021-01-13,10122,128,6974,Rwanda
2021-01-14,10316,133,6974,Rwanda
2021-01-15,10573,138,7028,Rwanda
2021-01-16,10850,140,7193,Rwanda
2021-01-17,11032,142,7363,Rwanda
2021-01-18,11259,146,7412,Rwanda
2021-01-19,11548,148,7580,Rwanda
2021-01-20,11860,153,7812,Rwanda
2021-01-21,12170,162,7973,Rwanda
2021-01-22,12443,165,8184,Rwanda
2021-01-23,12647,172,8319,Rwanda
2021-01-24,12975,174,8420,Rwanda
2021-01-25,13311,177,8681,Rwanda
2021-01-26,13885,181,8861,Rwanda
2021-01-27,14166,183,9042,Rwanda
2021-01-28,14529,186,9234,Rwanda
2021-01-29,14784,188,9519,Rwanda
2021-01-30,15118,193,9804,Rwanda
2021-01-31,15304,196,10087,Rwanda
2021-02-01,15459,198,10272,Rwanda
2021-02-02,15688,205,10745,Rwanda
2021-02-03,15834,208,10963,Rwanda
2021-02-04,15988,210,11352,Rwanda
2021-02-05,16186,213,11617,Rwanda
2021-02-06,16337,217,12047,Rwanda
2021-02-07,16451,220,12342,Rwanda
2021-02-08,16621,223,12629,Rwanda
2021-02-09,16811,226,12988,Rwanda
2021-02-10,16941,229,13389,Rwanda
2021-02-11,17068,231,13678,Rwanda
2021-02-12,17200,236,13937,Rwanda
2021-02-13,17267,236,14477,Rwanda
2021-02-14,17343,239,14792,Rwanda
2021-02-15,17484,239,15125,Rwanda
2021-02-16,17594,240,15475,Rwanda
2021-02-17,17716,243,15918,Rwanda
2021-02-18,17835,243,16163,Rwanda
2021-02-19,17929,245,16387,Rwanda
2021-02-20,17988,247,16597,Rwanda
2021-02-21,18053,249,16803,Rwanda
2021-02-22,18199,252,16992,Rwanda
2021-02-23,18325,253,17251,Rwanda
2021-02-24,18443,254,17264,Rwanda
2021-02-25,18553,258,17279,Rwanda
2021-02-26,18689,258,17302,Rwanda
2021-02-27,18790,261,17307,Rwanda
2021-02-28,18850,261,17313,Rwanda
2021-03-01,18986,264,17322,Rwanda
2021-03-02,19111,265,17472,Rwanda
2021-03-03,19198,265,17569,Rwanda
2021-03-04,19334,266,17682,Rwanda
2021-03-05,19426,267,17751,Rwanda
2021-03-06,19509,267,17810,Rwanda
2021-03-07,19551,268,17840,Rwanda
2021-03-08,19659,268,17911,Rwanda
2021-03-09,19779,270,18033,Rwanda
2021-03-10,19846,271,18118,Rwanda
2021-03-11,19945,273,18236,Rwanda
2021-03-12,20057,275,18361,Rwanda
2021-03-13,20143,276,18500,Rwanda
2021-03-14,20186,280,18566,Rwanda
2021-03-15,20302,282,18635,Rwanda
2021-03-16,20412,282,18804,Rwanda
2021-03-17,20480,283,18906,Rwanda
2021-03-18,20551,284,19007,Rwanda
2021-03-19,20681,287,19143,Rwanda
2021-03-20,20761,287,19163,Rwanda
2021-03-21,20828,290,19180,Rwanda
2021-03-22,20896,292,19214,Rwanda
2021-03-23,20975,295,19310,Rwanda
2021-03-24,21106,297,19441,Rwanda
2021-03-25,21210,298,19540,Rwanda
2021-03-26,21309,300,19657,Rwanda
2021-03-27,21370,301,19741,Rwanda
2021-03-28,21419,301,19785,Rwanda
2021-03-29,21490,305,19860,Rwanda
2021-03-30,21645,306,20001,Rwanda
2021-03-31,21783,307,20182,Rwanda
2021-04-01,21918,308,20308,Rwanda
2021-04-02,22167,310,20398,Rwanda
2021-04-03,22243,311,20472,Rwanda
2021-04-04,22482,311,20519,Rwanda
2021-04-05,22684,311,20594,Rwanda
2021-04-06,22862,314,20705,Rwanda
2021-04-07,23041,314,20835,Rwanda
2021-04-08,23152,314,20870,Rwanda
